Date,Value
1/1/90,7.4
2/1/90,8.1
3/1/90,7.8
4/1/90,8.2
5/1/90,8
6/1/90,7.9
7/1/90,8
8/1/90,7.5
9/1/90,7.5
10/1/90,7.3
11/1/90,7.4
12/1/90,8.2
1/1/91,8.7
2/1/91,8.3
3/1/91,7.4
4/1/91,8
5/1/91,7.7
6/1/91,8.2
7/1/91,7.6
8/1/91,7.9
9/1/91,8.1
10/1/91,8.6
11/1/91,8.4
12/1/91,9.1
1/1/92,8.8
2/1/92,9.2
3/1/92,9.2
4/1/92,9.4
5/1/92,9.4
6/1/92,9.5
7/1/92,9.1
8/1/92,9.2
9/1/92,8.2
10/1/92,7.4
11/1/92,7.3
12/1/92,9.9
1/1/93,8.3
2/1/93,8.4
3/1/93,8.3
4/1/93,8.2
5/1/93,7.7
6/1/93,7.2
7/1/93,7
8/1/93,7.1
9/1/93,6.3
10/1/93,5.6
11/1/93,5.6
12/1/93,8.4
1/1/94,6.4
2/1/94,5.9
3/1/94,6.2
4/1/94,5.8
5/1/94,7.1
6/1/94,6.3
7/1/94,6.4
8/1/94,5.9
9/1/94,6.2
10/1/94,6.5
11/1/94,6.4
12/1/94,6.5
1/1/95,6.9
2/1/95,7.3
3/1/95,7
4/1/95,6.3
5/1/95,6.5
6/1/95,6.1
7/1/95,6.4
8/1/95,6.1
9/1/95,6.1
10/1/95,6.5
11/1/95,6
12/1/95,5.5
1/1/96,6.1
2/1/96,6.1
3/1/96,6
4/1/96,5
5/1/96,6.1
6/1/96,6.5
7/1/96,6.1
8/1/96,5.9
9/1/96,6
10/1/96,5.8
11/1/96,5.8
12/1/96,5.7
1/1/97,5.6
2/1/97,5.7
3/1/97,5.8
4/1/97,5.9
5/1/97,6.2
6/1/97,6
7/1/97,5.5
8/1/97,5.4
9/1/97,5.6
10/1/97,5.6
11/1/97,5.8
12/1/97,5.8
1/1/98,6.7
2/1/98,6.8
3/1/98,6.9
4/1/98,6.6
5/1/98,6.3
6/1/98,6.2
7/1/98,6.3
8/1/98,6.2
9/1/98,5.8
10/1/98,5.6
11/1/98,5.7
12/1/98,5.2
1/1/99,5.7
2/1/99,5.6
3/1/99,5.3
4/1/99,4.5
5/1/99,4.3
6/1/99,4.2
7/1/99,4.1
8/1/99,4
9/1/99,3.5
10/1/99,3.9
11/1/99,4.1
12/1/99,3.7
1/1/00,4.7
2/1/00,4.2
3/1/00,3.9
4/1/00,4.4
5/1/00,4.3
6/1/00,4.2
7/1/00,4.6
8/1/00,4.6
9/1/00,3.8
10/1/00,4
11/1/00,3.8
12/1/00,3.5
1/1/01,4
2/1/01,4.1
3/1/01,4.5
4/1/01,4.3
5/1/01,3.7
6/1/01,3.7
7/1/01,5
8/1/01,6.1
9/1/01,6.3
10/1/01,2.7
11/1/01,3.4
12/1/01,3.8
1/1/02,5.6
2/1/02,5.3
3/1/02,5.3
4/1/02,5.1
5/1/02,5.6
6/1/02,5.4
7/1/02,4.6
8/1/02,4.4
9/1/02,4.9
10/1/02,4.7
11/1/02,4.7
12/1/02,4.5
1/1/03,4.5
2/1/03,4.8
3/1/03,4.6
4/1/03,4.6
5/1/03,5.1
6/1/03,4.9
7/1/03,5.5
8/1/03,5.3
9/1/03,4.5
10/1/03,4.6
11/1/03,4.7
12/1/03,4.8
1/1/04,4.5
2/1/04,4.5
3/1/04,4.5
4/1/04,4.7
5/1/04,4.7
6/1/04,5
7/1/04,4.6
8/1/04,4.6
9/1/04,3.9
10/1/04,3.8
11/1/04,3.5
12/1/04,6.3
1/1/05,3.2
2/1/05,2.9
3/1/05,2.9
4/1/05,2.2
5/1/05,3
6/1/05,2.3
7/1/05,1.9
8/1/05,2.4
9/1/05,2.3
10/1/05,2.6
11/1/05,2.7
12/1/05,2.8
1/1/06,3.8
2/1/06,3.8
3/1/06,3.8
4/1/06,3.4
5/1/06,3.2
6/1/06,3.4
7/1/06,2.9
8/1/06,3
9/1/06,3
10/1/06,3.1
11/1/06,3.2
12/1/06,3
1/1/07,3
2/1/07,3.3
3/1/07,3.6
4/1/07,3.2
5/1/07,3
6/1/07,2.8
7/1/07,2.8
8/1/07,2.6
9/1/07,2.8
10/1/07,2.8
11/1/07,2.5
12/1/07,3
1/1/08,3.3
2/1/08,3.8
3/1/08,3.9
4/1/08,3.5
5/1/08,7.9
6/1/08,5.5
7/1/08,4.4
8/1/08,3.7
9/1/08,4.4
10/1/08,5.4
11/1/08,6.2
12/1/08,6.4
1/1/09,6.4
2/1/09,5.9
3/1/09,6.1
4/1/09,6.7
5/1/09,8.1
6/1/09,6.6
7/1/09,6
8/1/09,4.9
9/1/09,5.9
10/1/09,5.4
11/1/09,5.7
12/1/09,5.7
1/1/10,5.6
2/1/10,5.2
3/1/10,5
4/1/10,5.6
5/1/10,6
6/1/10,5.9
7/1/10,5.9
8/1/10,5.8
9/1/10,5.6
10/1/10,5.4
11/1/10,5.3
12/1/10,5.9
1/1/11,6.3
2/1/11,6.4
3/1/11,6.1
4/1/11,5.8
5/1/11,5.9
6/1/11,6.1
7/1/11,6.2
8/1/11,6.2
9/1/11,5.7
10/1/11,5.5
11/1/11,5.6
12/1/11,6.4
1/1/12,6.6
2/1/12,6.7
3/1/12,7
4/1/12,7.2
5/1/12,7.3
6/1/12,7.6
7/1/12,7.1
8/1/12,7.1
9/1/12,7.2
10/1/12,7.8
11/1/12,8.8
12/1/12,11
1/1/13,4.9
2/1/13,4.7
3/1/13,4.8
4/1/13,4.9
5/1/13,5.3
6/1/13,5.4
7/1/13,5.2
8/1/13,5.4
9/1/13,5.3
10/1/13,4.8
11/1/13,4.6
12/1/13,4.7
1/1/14,5.1
2/1/14,5.4
3/1/14,5.4
4/1/14,5.5
5/1/14,5.7
6/1/14,5.9
7/1/14,5.8
8/1/14,5.6
9/1/14,5.8
10/1/14,5.8
11/1/14,5.8
12/1/14,6.1
1/1/15,6.1
2/1/15,6.3
3/1/15,5.8
4/1/15,6.2
5/1/15,6.2
6/1/15,6.3
7/1/15,6
8/1/15,6
9/1/15,6
10/1/15,6.3
11/1/15,6.1
12/1/15,5.8
1/1/16,5.9
2/1/16,5.5
3/1/16,5.7
4/1/16,5.5
5/1/16,5.4
6/1/16,5.1
7/1/16,5.1
8/1/16,4.9
9/1/16,4.5
10/1/16,4.1
11/1/16,3.7
12/1/16,3.2
1/1/17,3.7
2/1/17,4.1
3/1/17,3.9
4/1/17,3.7
5/1/17,3.8
6/1/17,3.6
7/1/17,3.5
8/1/17,3.5
9/1/17,3
10/1/17,2.9
11/1/17,2.5
12/1/17,2.4
1/1/18,3
2/1/18,3.3
3/1/18,3.1